Date ,Min pressure,Longitude,Latitude,Max wind
02-Mar 00:00 UCT,975.5,61.5,-11.4,23.71
02-Mar 06:00 UCT,970.1,58,-11.1,24.34
02-Mar 12:00 UCT,976.9,57.7,-11.9,25.39
02-Mar 18:00 UCT,981.3,57.9,-12.7,22.33
03-Mar 00:00 UCT,986.2,57.2,-13.7,22.55
03-Mar 06:00 UCT,990.9,57,-13.8,22.79
03-Mar 12:00 UCT,994.8,56.5,-13.9,22.53
03-Mar 18:00 UCT,990.5,54,-14,21.06
04-Mar 00:00 UCT,976.5,53.7,-14,21.82
04-Mar 06:00 UCT,974.8,53.5,-15,24.47
04-Mar 12:00 UCT,977.8,53.4,-15.1,24.49
04-Mar 18:00 UCT,980.4,53,-14,29.89
05-Mar 00:00 UCT,982.6,52.6,-16.9,30.09
05-Mar 06:00 UCT,981.5,52.5,-16.8,32.01
05-Mar 12:00 UCT,968.9,52.4,-17,47.88
05-Mar 18:00 UCT,968.8,52.3,-17.3,40.23
06-Mar 00:00 UCT,962.5,52.2,-17.4,43.8
06-Mar 06:00 UCT,960,52.1,-17.6,42.83
06-Mar 12:00 UCT,954.7,50,-17.8,42.71
06-Mar 18:00 UCT,952,49,-18.1,48.32
07-Mar 00:00 UCT,941.8,48,-20.3,50.63
07-Mar 06:00 UCT,941.5,47,-22,51.11
07-Mar 12:00 UCT,940.5,47.5,-24,51.85
07-Mar 18:00 UCT,941.6,48.3,-26.1,55.17
08-Mar 00:00 UCT,943.3,53.4,-28.2,52.8
08-Mar 06:00 UCT,945.3,54,-30.4,52.98
08-Mar 12:00 UCT,948.9,54.5,-31.3,49.79
08-Mar 18:00 UCT,951.6,54.7,-32.1,44.98
09-Mar 00:00 UCT,954,56.1,-33.2,46.86
09-Mar 06:00 UCT,958,55.1,-34.5,50.57
09-Mar 12:00 UCT,962.5,55,-36.1,45.89
09-Mar 18:00 UCT,966.5,54.1,-37,40.39
10-Mar 00:00 UCT,967.8,53.7,-37.6,42.31
10-Mar 06:00 UCT,964.9,51.1,-37.9,35.83
10-Mar 12:00 UCT,967.7,50,-38.6,35.5
10-Mar 18:00 UCT,985.8,49.3,-38.4,28.12
11-Mar 00:00 UCT,992,48.1,-38.2,19.93
11-Mar 06:00 UCT,993,40,-39.1,21.11
11-Mar 12:00 UCT,989.7,38.1,-40.3,29.11
11-Mar 18:00 UCT ,992.2,37.6,-41.2,25.07
