Min pressure,Longitude,Latitude,Max wind
1005,62.8,-11,20
1005,61.2,-11.4,20
1004,59.9286,-11.7143,20
1003,58.75,-12.05,22
1001,57.9,-12.3,25
998,57,-12.7,30
996,56.6,-12.85,32
992,56.4,-13.05,38
988,56.45,-13.25,42
984,56.8,-13.45,45
983,56.9,-13.55,45
983,56.6,-13.45,45
980,56.3,-13.5,50
978,56,-13.6,55
970,55.5,-13.85,65
974,55.05,-13.95,60
974,54.4,-14,60
970,53.8,-13.95,70
950,53.05,-14.1,90
937,52.4,-14.4,105
937,51.5,-14.65,105
932,50.65,-14.65,110
950,50.15,-14.45,85
987,46.9,-26.05,48
980,48.2429,-26.6714,55
980,49.42,-29,55
980,50.1,-30.5,55
980,49.8,-32.2,55
980,48.6,-33.6,55
982,47.5,-35.8,53
985,45.5,-37,50
