Date ,Min pressure,Longitude,Latitude,Max wind
02-Mar 00:00 UCT,986.7,56.1,-10.9,21.91
02-Mar 06:00 UCT,988.1,57.9,-11.6,21.79
02-Mar 12:00 UCT,990,58.6,-11.1,22.81
02-Mar 18:00 UCT,984.3,56.5,-12,21.42
03-Mar 00:00 UCT,973.8,56.9,-13.2,20.12
03-Mar 06:00 UCT,969.2,57.7,-13.8,22.93
03-Mar 12:00 UCT,977.4,57.9,-13.6,24.3
03-Mar 18:00 UCT,982.8,56,-14,26.42
04-Mar 00:00 UCT,987.5,55.7,-14.6,25.07
04-Mar 06:00 UCT,993.6,54.1,-14.9,27.13
04-Mar 12:00 UCT,999.6,53.9,-15.3,30.64
04-Mar 18:00 UCT,1002,53.7,-15.7,36.42
05-Mar 00:00 UCT,999.2,53.4,-15.9,42.54
05-Mar 06:00 UCT,992.1,52.9,-16.3,43.43
05-Mar 12:00 UCT,989.1,52.7,-16.7,44.45
05-Mar 18:00 UCT,992.3,52.3,-17.2,46.57
06-Mar 00:00 UCT,993,52.2,-17.1,46.73
06-Mar 06:00 UCT,993.7,52.3,-17.4,47.32
06-Mar 12:00 UCT,995,51,-17.8,50.26
06-Mar 18:00 UCT,997.2,50,-18.3,48.02
07-Mar 00:00 UCT,996.6,48.9,-19.1,51.56
07-Mar 06:00 UCT,998.6,48.7,-21.9,51.89
07-Mar 12:00 UCT,996.5,48.1,-26,51.91
07-Mar 18:00 UCT,986.1,48.6,-26.3,51.8
08-Mar 00:00 UCT,993.6,51.9,-26.9,51.32
08-Mar 06:00 UCT,994.9,52.6,-28.1,50.48
08-Mar 12:00 UCT,989.9,53.3,-31.9,50.36
08-Mar 18:00 UCT,983.2,54.6,-32.5,54.86
09-Mar 00:00 UCT,978.2,55.7,-33.4,56.11
09-Mar 06:00 UCT,974.7,56.1,-34.1,55.06
09-Mar 12:00 UCT,970.6,55.9,-36.8,54.1
09-Mar 18:00 UCT,968,55.7,-36.9,45.04
10-Mar 00:00 UCT,966.7,52.1,-38.1,33.35
10-Mar 06:00 UCT,965,51.9,-38.2,33.69
10-Mar 12:00 UCT,963.9,49.1,-38.4,31.85
10-Mar 18:00 UCT,962.8,48.4,-39.1,35.42
11-Mar 00:00 UCT,962.9,44.1,-39,36.17
11-Mar 06:00 UCT,963.7,41.1,-39.3,36.21
11-Mar 12:00 UCT,975.5,39.9,-41.2,35.53
11-Mar 18:00 UCT ,971.1,39.7,-40,46.8
