Date,Min pressure,Longitude,Latitude,Max wind
02-Mar- 00:00 UCT,973.6,59.9,-11.4,23.62
02-Mar- 06:00 UCT,981.2,59.3,-11.1,23.72
02-Mar- 12:00 UCT,977.2,57.6,-12.3,26.05
02-Mar- 18:00 UCT,975.1,57.9,-12.6,27.28
03-Mar- 00:00 UCT,976.2,57.3,-13.6,25.32
03-Mar- 06:00 UCT,985.3,57,-13.7,23.63
03-Mar- 12:00 UCT,994.5,57.1,-13.9,22.11
03-Mar- 18:00 UCT,998.9,54.3,-14.1,23.1
04-Mar- 00:00 UCT,992.2,53.7,-14,18.91
04-Mar- 06:00 UCT,980.8,53.5,-15.4,27.39
04-Mar- 12:00 UCT,983.3,53.3,-15.2,26.64
04-Mar- 18:00 UCT,983.9,53.2,-15.9,29.46
05-Mar- 00:00 UCT,978.6,52.7,-16.8,31.36
05-Mar- 06:00 UCT,971.9,52.6,-16.8,36.55
05-Mar- 12:00 UCT,961.1,52.5,-16.1,44.15
05-Mar- 18:00 UCT,958.1,52.3,-17.2,44.37
06-Mar- 00:00 UCT,952,52.2,-17.3,45.04
06-Mar- 06:00 UCT,946.5,52.4,-17.5,49.35
06-Mar- 12:00 UCT,945.7,51.1,-17.7,48.3
06-Mar- 18:00 UCT,950.8,49.7,-18,47.98
07-Mar- 00:00 UCT,947,49.6,-19.7,51.35
07-Mar- 06:00 UCT,948.4,48.1,-22.5,50.73
07-Mar- 12:00 UCT,945.2,47.6,-23.9,51.54
10-Mar- 00:00 UCT,938.3,53.9,-37.8,53.97
10-Mar- 06:00 UCT,948.3,51.6,-38.5,47.5
10-Mar- 12:00 UCT,957.1,48.6,-38.3,39.28
10-Mar- 18:00 UCT,968.1,48.1,-38.1,33.49
11-Mar- 00:00 UCT,974.3,41.6,-38.6,29.68
11-Mar- 06:00 UCT,980.6,40.1,-39.1,29.55
11-Mar- 12:00 UCT,983,39.4,-41.1,31.02
11-Mar- 18:00 UCT,984.4,38.2,-43,34.42
