Longitude1,Latitude1,Longitude2,Latitude2,Longitude3,Latitude3,Longitude4,Latitude4,Longitude5,Latitude5
61.5,-11.4,56.1,-10.9,59.9,-11.4,61.4,-12.1,62.8,-11
58,-11.1,57.9,-11.6,59.3,-11.1,59.1,-11.3,61.2,-11.4
57.7,-11.9,58.6,-11.1,57.6,-12.3,61.1,-11.6,59.9286,-11.7143
57.9,-12.7,56.5,-12,57.9,-12.6,58.1,-12.4,58.75,-12.05
57.2,-13.7,56.9,-13.2,57.3,-13.6,57.1,-13.5,57.9,-12.3
57,-13.8,57.7,-13.8,57,-13.7,56.9,-13.2,57,-12.7
56.5,-13.9,57.9,-13.6,57.1,-13.9,57.1,-13.8,56.6,-12.85
54,-14,56,-14,54.3,-14.1,56.9,-14,56.4,-13.05
53.7,-14,55.7,-14.6,53.7,-14,57.1,-15.1,56.45,-13.25
53.5,-15,54.1,-14.9,53.5,-15.4,54.1,-14.9,56.8,-13.45
53.4,-15.1,53.9,-15.3,53.3,-15.2,53.7,-15.8,56.9,-13.55
53,-14,53.7,-15.7,53.2,-15.9,53.5,-16.6,56.6,-13.45
52.6,-16.9,53.4,-15.9,52.7,-16.8,53.1,-16.3,56.3,-13.5
52.5,-16.8,52.9,-16.3,52.6,-16.8,52.8,-16.4,56,-13.6
52.4,-17,52.7,-16.7,52.5,-16.1,52.5,-16.1,55.5,-13.85
52.3,-17.3,52.3,-17.2,52.3,-17.2,52.1,-17.1,55.05,-13.95
52.2,-17.4,52.2,-17.1,52.2,-17.3,52.3,-17.3,54.4,-14
52.1,-17.6,52.3,-17.4,52.4,-17.5,52.1,-17.6,53.8,-13.95
50,-17.8,51,-17.8,51.1,-17.7,52.4,-17.7,53.05,-14.1
49,-18.1,50,-18.3,49.7,-18,53.1,-17.9,52.4,-14.4
48,-20.3,48.9,-19.1,49.6,-19.7,51,-19.9,51.5,-14.65
47,-22,48.7,-21.9,48.1,-22.5,49.8,-22.4,50.65,-14.65
47.5,-24,48.1,-26,47.6,-23.9,48.9,-23.7,50.15,-14.45
48.3,-26.1,48.6,-26.3,48.2,-26.1,48.7,-25.9,49.85,-15.05
53.4,-28.2,51.9,-26.9,52.9,-27,47.9,-26.2,49.4,-15.85
54,-30.4,52.6,-28.1,53.9,-29.9,48.5,-27.3,48.2,-16.35
54.5,-31.3,53.3,-31.9,54.3,-32.3,48.4,-31.1,47.4,-17.05
54.7,-32.1,54.6,-32.5,54.6,-32.5,52.8,-32.3,46.7,-17.9
56.1,-33.2,55.7,-33.4,55.9,-33.5,53.3,-33.1,46.45,-19.1
55.1,-34.5,56.1,-34.1,55.3,-34.3,54.1,-34.1,46.15,-20.7
55,-36.1,55.9,-36.8,55.2,-36.4,55.6,-35.6,46,-23
54.1,-37,55.7,-36.9,54.9,-36.9,55.1,-35.9,46.45,-24.6
53.7,-37.6,52.1,-38.1,53.9,-37.8,55.6,-38.7,46.9,-26.05
51.1,-37.9,51.9,-38.2,51.6,-38.5,54.6,-38.3,48.2429,-26.6714
50,-38.6,49.1,-38.4,48.6,-38.3,51.9,-39.1,49.42,-29
49.3,-38.4,48.4,-39.1,48.1,-38.1,52.3,-39.6,50.1,-30.5
48.1,-38.2,44.1,-39,41.6,-38.6,49.7,-39.1,49.8,-32.2
40,-39.1,41.1,-39.3,40.1,-39.1,48.7,-39.4,48.6,-33.6
38.1,-40.3,39.9,-41.2,39.4,-41.1,43.9,-37.9,47.5,-35.8
37.6,-41.2,39.7,-40,38.2,-43,39.7,-38.6,45.5,-37
